Fips,Metro_area,Latitude,Longitude,Share_of_recent_buyers,State
48620,"Wichita, KS Metro Area",37.5841,-97.4951,7.70%,KS
48540,"Wheeling, WV-OH Metro Area",39.9534,-80.8766,5.30%,WV
48300,"Wenatchee, WA Metro Area",47.8855,-120.1936,6.90%,WA
48260,"Weirton-Steubenville, WV-OH Metro Area",40.3973,-80.6923,5.30%,WV
48140,"Wausau, WI Metro Area",44.9009,-89.7695,5.10%,WI
48060,"Watertown-Fort Drum, NY Metro Area",44.0354,-75.9891,5.70%,NY
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.8552,-77.5269,6.60%,DC
47380,"Waco, TX Metro Area",31.4247,-97.1128,6.80%,TX
47300,"Visalia-Porterville, CA Metro Area",36.2671,-118.8232,6.30%,CA
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",36.8161,-76.3797,6.70%,VA
47220,"Vineland-Bridgeton, NJ Metro Area",39.3125,-75.1344,6.20%,NJ
46700,"Vallejo-Fairfield, CA Metro Area",38.2855,-121.9018,5.50%,CA
46540,"Utica-Rome, NY Metro Area",43.4608,-75.1188,5.60%,NY
46520,"Urban Honolulu, HI Metro Area",21.4812,-157.9695,5.30%,HI
46140,"Tulsa, OK Metro Area",36.1881,-96.1294,6.80%,OK
45940,"Trenton, NJ Metro Area",40.2805,-74.6826,5.60%,NJ
45820,"Topeka, KS Metro Area",39.0434,-95.9461,7.90%,KS
45780,"Toledo, OH Metro Area",41.5626,-83.8981,6.70%,OH
45220,"Tallahassee, FL Metro Area",30.3347,-84.2507,7.20%,FL
45060,"Syracuse, NY Metro Area",43.2123,-76.1777,5.30%,NY
44420,"Staunton-Waynesboro, VA Metro Area",38.1797,-79.1373,6.00%,VA
44300,"State College, PA Metro Area",40.9721,-77.806,5.10%,PA
44220,"Springfield, OH Metro Area",39.9058,-83.7972,5.80%,OH
44180,"Springfield, MO Metro Area",37.3561,-93.1565,7.70%,MO
44140,"Springfield, MA Metro Area",42.2772,-72.6068,6.20%,MA
43900,"Spartanburg, SC Metro Area",34.8204,-81.8312,7.30%,SC
43780,"South Bend-Mishawaka, IN-MI Metro Area",41.7514,-86.2934,6.10%,IN
43340,"Shreveport-Bossier City, LA Metro Area",32.4317,-93.6401,6.40%,LA
43300,"Sherman-Denison, TX Metro Area",33.6787,-96.662,6.40%,TX
42700,"Sebring, FL Metro Area",27.3395,-81.3049,6.60%,FL
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",47.5137,-121.885,7.60%,WA
42340,"Savannah, GA Metro Area",32.1505,-81.4468,7.60%,GA
42220,"Santa Rosa, CA Metro Area",38.4629,-122.8943,6.40%,CA
42200,"Santa Maria-Santa Barbara, CA Metro Area",34.7203,-120.0629,7.30%,CA
42140,"Santa Fe, NM Metro Area",35.5258,-105.9833,7.20%,NM
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",35.3477,-120.3665,7.00%,CA
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",36.8407,-121.3746,5.20%,CA
41740,"San Diego-Carlsbad, CA Metro Area",33.0164,-116.7305,6.40%,CA
41700,"San Antonio-New Braunfels, TX Metro Area",29.376,-98.6267,7.10%,TX
41620,"Salt Lake City, UT Metro Area",40.4903,-112.926,6.60%,UT
41540,"Salisbury, MD-DE Metro Area",38.4443,-75.4108,6.50%,MD
41500,"Salinas, CA Metro Area",36.3545,-121.5249,5.70%,CA
41180,"St. Louis, MO-IL Metro Area",38.7628,-90.3359,6.20%,MO
41140,"St. Joseph, MO-KS Metro Area",39.8301,-94.7727,5.90%,MO
41060,"St. Cloud, MN Metro Area",45.5526,-94.6386,6.10%,MN
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",38.6673,-121.1593,6.70%,CA
40340,"Rochester, MN Metro Area",43.9778,-92.5623,5.90%,MN
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",34.6177,-116.0501,6.70%,CA
40060,"Richmond, VA Metro Area",37.48,-77.437,6.60%,VA
39900,"Reno, NV Metro Area",40.582,-119.6546,8.00%,NV
39820,"Redding, CA Metro Area",40.7347,-122.0179,6.80%,CA
39660,"Rapid City, SD Metro Area",44.258,-102.7909,7.00%,SD
39580,"Raleigh, NC Metro Area",35.7604,-78.5878,7.90%,NC
39540,"Racine, WI Metro Area",42.7278,-87.6802,6.00%,WI
39460,"Punta Gorda, FL Metro Area",26.904,-81.9881,7.90%,FL
39380,"Pueblo, CO Metro Area",38.1285,-104.5533,5.10%,CO
39300,"Providence-Warwick, RI-MA Metro Area",41.6397,-71.3161,5.40%,RI
38860,"Portland-South Portland, ME Metro Area",43.5441,-70.5308,6.00%,ME
38540,"Pocatello, ID Metro Area",42.6399,-112.1631,5.20%,ID
38340,"Pittsfield, MA Metro Area",42.3915,-73.2021,5.80%,MA
38220,"Pine Bluff, AR Metro Area",34.0987,-91.8369,6.50%,AR
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",39.9494,-75.2383,5.60%,PA
37900,"Peoria, IL Metro Area",40.7761,-89.4577,7.50%,IL
36780,"Oshkosh-Neenah, WI Metro Area",44.0684,-88.6451,5.80%,WI
36540,"Omaha-Council Bluffs, NE-IA Metro Area",41.3245,-96.0317,7.50%,NE
36420,"Oklahoma City, OK Metro Area",35.4226,-97.724,6.60%,OK
36220,"Odessa, TX Metro Area",31.8707,-102.5429,5.10%,TX
35840,"North Port-Sarasota-Bradenton, FL Metro Area",27.2972,-82.3447,7.40%,FL
35660,"Niles-Benton Harbor, MI Metro Area",42.0017,-86.6862,6.20%,MI
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",40.778,-73.7087,5.40%,NY
35300,"New Haven-Milford, CT Metro Area",41.3658,-72.8776,5.80%,CT
35100,"New Bern, NC Metro Area",35.0996,-77.0357,7.40%,TN
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",36.0303,-86.7925,7.80%,CA
34900,"Napa, CA Metro Area",38.5096,-122.326,5.20%,SC
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",33.9705,-78.2911,8.00%,SC
34740,"Muskegon, MI Metro Area",43.2958,-86.587,7.00%,MI
34580,"Mount Vernon-Anacortes, WA Metro Area",48.4768,-121.9059,7.80%,WA
34100,"Morristown, TN Metro Area",36.1207,-83.4366,5.80%,TN
34060,"Morgantown, WV Metro Area",39.4582,-79.7187,5.80%,WV
33860,"Montgomery, AL Metro Area",32.3654,-86.407,6.30%,AL
33740,"Monroe, LA Metro Area",32.6366,-92.1696,6.40%,LA
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",45.2214,-93.5043,7.20%,MN
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",43.1933,-87.8277,5.90%,WI
33220,"Midland, MI Metro Area",43.6447,-84.3875,7.40%,MI
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",26.0551,-80.4596,7.30%,FL
32900,"Merced, CA Metro Area",37.187,-120.6093,6.30%,CA
32820,"Memphis, TN-MS-AR Metro Area",35.0381,-89.7993,6.00%,TN
31860,"Mankato-North Mankato, MN Metro Area",44.1527,-94.0685,5.40%,MN
31700,"Manchester-Nashua, NH Metro Area",42.952,-71.7201,6.10%,NH
31540,"Madison, WI Metro Area",43.0719,-89.7202,6.70%,WI
31460,"Madera, CA Metro Area",37.2706,-119.6356,7.30%,CA
31420,"Macon-Bibb County, GA Metro Area",32.8283,-83.7458,6.40%,GA
31340,"Lynchburg, VA Metro Area",37.4101,-79.2122,7.00%,VA
31180,"Lubbock, TX Metro Area",33.3967,-101.6791,5.90%,TX
31140,"Louisville/Jefferson County, KY-IN Metro Area",38.3188,-85.6272,6.70%,KY
30980,"Longview, TX Metro Area",32.374,-94.7391,5.90%,TX
30860,"Logan, UT-ID Metro Area",41.8997,-111.7921,5.90%,UT
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",34.7137,-92.3347,6.60%,AR
30700,"Lincoln, NE Metro Area",40.7851,-96.9161,6.70%,NE
30620,"Lima, OH Metro Area",40.7818,-84.1386,7.60%,OH
30340,"Lewiston-Auburn, ME Metro Area",44.1965,-70.2031,7.70%,ME
30300,"Lewiston, ID-WA Metro Area",46.2432,-117.0514,7.10%,ID
30140,"Lebanon, PA Metro Area",40.3753,-76.4431,5.30%,PA
29940,"Lawrence, KS Metro Area",38.904,-95.2783,6.70%,KS
29740,"Las Cruces, NM Metro Area",32.4179,-106.8377,6.20%,NM
29620,"Lansing-East Lansing, MI Metro Area",42.7676,-84.6157,6.00%,MI
29540,"Lancaster, PA Metro Area",40.0186,-76.2338,6.70%,PA
29420,"Lake Havasu City-Kingman, AZ Metro Area",35.6056,-113.9942,7.80%,AZ
29200,"Lafayette-West Lafayette, IN Metro Area",40.476,-86.8142,7.70%,IN
29180,"Lafayette, LA Metro Area",29.9277,-92.1272,5.20%,LA
29100,"La Crosse-Onalaska, WI-MN Metro Area",43.7953,-91.3207,5.90%,WI
29020,"Kokomo, IN Metro Area",40.4713,-86.1192,6.50%,IN
28940,"Knoxville, TN Metro Area",36.0263,-84.2164,6.80%,TN
28660,"Killeen-Temple, TX Metro Area",31.2315,-97.9026,7.40%,TX
28420,"Kennewick-Richland, WA Metro Area",46.2878,-119.345,5.70%,WA
28140,"Kansas City, MO-KS Metro Area",38.9071,-94.585,6.90%,MO
28100,"Kankakee, IL Metro Area",41.1467,-87.8844,5.80%,IL
