Fips,Metro_area,Latitude,Longitude,Share_of_recent_buyers,State
33540,"Missoula, MT Metro Area",47.1162,-113.9448,4.30%,MT
33140,"Michigan City-La Porte, IN Metro Area",41.4993,-86.7273,3.00%,IN
32580,"McAllen-Edinburg-Mission, TX Metro Area",26.4089,-98.1861,3.50%,TX
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",34.0786,-118.3232,4.30%,CA
30020,"Lawton, OK Metro Area",34.4589,-98.4007,4.80%,OK
29700,"Laredo, TX Metro Area",27.7321,-99.2864,3.60%,TX
29340,"Lake Charles, LA Metro Area",30.0083,-93.1892,3.00%,LA
28740,"Kingston, NY Metro Area",41.8791,-74.2028,3.70%,NY
28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",36.5855,-82.365,4.80%,TN
26380,"Houma-Thibodaux, LA Metro Area",29.4536,-90.6521,4.80%,LA
25980,"Hinesville, GA Metro Area",31.8068,-81.6438,4.60%,GA
25500,"Harrisonburg, VA Metro Area",38.5283,-78.9404,4.40%,VA
25220,"Hammond, LA Metro Area",30.6175,-90.4081,4.60%,LA
24780,"Greenville, NC Metro Area",35.5802,-77.3635,3.30%,NC
23460,"Gadsden, AL Metro Area",34.0211,-86.0433,2.60%,AL
22500,"Florence, SC Metro Area",34.1554,-79.8506,4.80%,SC
22140,"Farmington, NM Metro Area",36.5004,-108.3357,2.30%,NM
22020,"Fargo, ND-MN Metro Area",46.934,-96.9278,4.90%,ND
21500,"Erie, PA Metro Area",42.1824,-80.1407,4.50%,PA
21140,"Elkhart-Goshen, IN Metro Area",41.5978,-85.8585,4.00%,IN
21060,"Elizabethtown-Fort Knox, KY Metro Area",37.8104,-85.9517,4.40%,KY
20940,"El Centro, CA Metro Area",33.0262,-115.3571,3.70%,CA
19500,"Decatur, IL Metro Area",39.8549,-88.9817,3.20%,IL
19460,"Decatur, AL Metro Area",34.552,-87.1635,3.80%,AL
19180,"Danville, IL Metro Area",40.1792,-87.7362,3.20%,IL
19140,"Dalton, GA Metro Area",34.7858,-84.8822,3.20%,GA
18020,"Columbus, IN Metro Area",39.1931,-85.8842,3.60%,IN
16580,"Champaign-Urbana, IL Metro Area",40.3948,-88.1963,4.70%,IL
16020,"Cape Girardeau, MO-IL Metro Area",37.2885,-89.7109,3.20%,MO
15180,"Brownsville-Harlingen, TX Metro Area",26.1248,-97.4854,4.00%,TX
14100,"Bloomsburg-Berwick, PA Metro Area",41.0428,-76.4941,3.80%,PA
13780,"Binghamton, NY Metro Area",42.2062,-76.0867,3.80%,NY
13380,"Bellingham, WA Metro Area",48.8142,-121.8478,4.90%,WA
13220,"Beckley, WV Metro Area",37.8857,-81.1637,4.10%,WV
12260,"Augusta-Richmond County, GA-SC Metro Area",33.3936,-82.0247,4.60%,GA
12100,"Atlantic City-Hammonton, NJ Metro Area",39.5086,-74.6812,4.00%,NJ
11020,"Altoona, PA Metro Area",40.4926,-78.3484,4.60%,PA
10780,"Alexandria, LA Metro Area",31.3434,-92.5269,4.50%,LA
