City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kahului,US,2023-03-02 01:23:39,20.8947,-156.47,74.3,92,40,14.97
1,Ponoka,CA,2023-03-02 01:23:39,52.6768,-113.5815,17.89,93,100,5.77
2,Kapaa,US,2023-03-02 01:23:40,22.0752,-159.319,75.52,66,75,25.32
3,Douglas,US,2023-03-02 01:23:40,41.3,-96.167,32.88,78,0,13.8
4,Susanville,US,2023-03-02 01:22:25,40.4163,-120.653,30.81,58,0,8.05
5,Hilo,US,2023-03-02 01:23:41,19.7297,-155.09,71.11,90,89,5.01
6,Jimenez,MX,2023-03-02 01:23:42,28.3333,-105.4,73.18,20,100,25.79
7,Rock Sound,BS,2023-03-02 01:23:42,24.9,-76.2,73.98,68,0,7.65
8,Kodiak,US,2023-03-02 01:23:43,57.79,-152.4072,26.11,54,100,25.32
9,Terrace,CA,2023-03-02 01:23:43,54.5163,-128.6035,33.71,93,100,24.16
10,Bethel,US,2023-03-02 01:23:43,41.3712,-73.414,38.48,82,100,6.91
11,Cabo San Lucas,MX,2023-03-02 01:19:09,22.8909,-109.9124,72.52,47,100,5.75
12,Iqaluit,CA,2023-03-02 01:23:44,63.7506,-68.5145,-25.31,67,40,1.99
13,Pascagoula,US,2023-03-02 01:22:38,30.3658,-88.5561,76.41,92,75,6.91
14,Greenwood,US,2023-03-02 01:23:45,34.1668,-82.1165,68.36,66,0,6.91
15,Half Moon Bay,US,2023-03-02 01:23:45,37.4636,-122.4286,56.01,61,0,20.71
16,Whitecourt,CA,2023-03-02 01:23:46,54.1502,-115.6855,22.24,73,75,4.61
17,Camargo,MX,2023-03-02 01:23:47,27.6667,-105.1667,74.68,19,100,19.04
18,Havelock,US,2023-03-02 01:23:47,34.8791,-76.9013,69.98,91,40,11.5
19,North Myrtle Beach,US,2023-03-02 01:22:33,33.816,-78.68,69.39,94,100,6.91
20,Meadow Lake,US,2023-03-02 01:23:48,34.8014,-106.5436,49.96,37,100,18.28
21,Sitka,US,2023-03-02 01:23:49,57.0531,-135.33,42.69,75,100,23.02
22,North Bend,US,2023-03-02 01:23:49,43.4065,-124.2243,46.31,74,0,8.05
23,Ottumwa,US,2023-03-02 01:19:07,41.02,-92.4113,43.16,79,0,16.11
24,Haines Junction,CA,2023-03-02 01:23:50,60.7522,-137.5108,17.55,86,100,1.14
25,Hamilton,US,2023-03-02 01:23:50,39.1834,-84.5333,67.89,72,100,10.36
26,Bristol,US,2023-03-02 01:21:47,41.8334,-71.1662,38.68,81,100,4.0
27,Thompson,CA,2023-03-02 01:23:51,55.7435,-97.8558,-11.04,84,20,0.0
28,Norman Wells,CA,2023-03-02 01:23:51,65.282,-126.8329,-2.16,71,20,6.91
29,Hilton Head Island,US,2023-03-02 01:23:51,32.2163,-80.7526,71.65,86,0,9.22
30,San Quintin,MX,2023-03-02 01:23:52,30.4833,-115.95,51.78,80,100,32.53
31,Shawnee,US,2023-03-02 01:23:52,39.05,-95.7669,52.25,35,0,6.91
32,Sahuaripa,MX,2023-03-02 01:23:52,29.05,-109.2333,65.25,21,100,11.14
33,Parsons,US,2023-03-02 01:23:06,37.3403,-95.2611,53.89,47,84,8.34
34,Fortuna,US,2023-03-02 01:23:53,40.5982,-124.1573,47.66,69,0,12.66
35,Hinton,CA,2023-03-02 01:23:53,53.4001,-117.5857,25.3,82,100,7.83
36,Pahrump,US,2023-03-02 01:23:53,36.2083,-115.9839,41.05,73,94,10.0
37,Kenora,CA,2023-03-02 01:23:55,49.8167,-94.4337,11.37,48,75,4.61
38,Pismo Beach,US,2023-03-02 01:23:55,35.1428,-120.6413,53.26,63,20,23.02
39,Makaha,US,2023-03-02 01:23:56,21.4694,-158.2175,78.71,77,100,4.61
40,Lompoc,US,2023-03-02 01:23:56,34.6391,-120.4579,51.94,65,20,26.46
41,Campbell River,CA,2023-03-02 01:20:27,50.0163,-125.2446,36.93,100,100,3.44
42,Walla Walla,US,2023-03-02 01:23:56,46.0646,-118.343,44.49,58,0,12.66
43,Pacific Grove,US,2023-03-02 01:20:07,36.6177,-121.9166,53.89,68,0,25.01
44,Banon,ES,2023-03-02 01:23:58,40.8382,-1.1909,34.86,52,32,4.61
45,Granger,US,2023-03-02 01:23:59,41.7481,-86.1257,48.29,85,0,3.44
46,Port Hardy,CA,2023-03-02 01:23:59,50.6996,-127.4199,37.4,93,100,17.27
47,Suffolk,US,2023-03-02 01:24:00,40.8668,-72.7996,40.91,89,100,5.75
48,Flin Flon,CA,2023-03-02 01:24:00,54.7682,-101.865,3.33,96,100,6.08
49,Brownsville,US,2023-03-02 01:21:10,25.9018,-97.4975,79.09,89,75,21.85
50,Ketchikan,US,2023-03-02 01:25:01,55.3422,-131.6461,42.78,93,100,6.91
51,Coos Bay,US,2023-03-02 01:25:01,43.3665,-124.2179,46.38,75,0,8.05
52,Moron,AR,2023-03-02 01:25:02,-34.6534,-58.6198,86.97,55,98,7.9
53,Chapleau,CA,2023-03-02 01:25:02,47.8405,-83.4034,24.89,80,100,10.36
54,Yellowknife,CA,2023-03-02 01:25:03,62.456,-114.3525,9.12,78,75,19.57
55,Geraldton,AU,2023-03-02 01:24:47,-28.7667,114.6,84.61,54,40,20.71
56,Hay River,CA,2023-03-02 01:25:04,60.8156,-115.7999,15.78,62,40,14.97
57,Venice,US,2023-03-02 01:22:07,27.0998,-82.4543,73.98,91,0,1.01
58,Fort Nelson,CA,2023-03-02 01:21:40,58.8053,-122.7002,20.79,72,100,5.75
59,Maravatio,MX,2023-03-02 01:25:04,19.9,-100.45,63.59,37,90,6.24
60,Sioux Lookout,CA,2023-03-02 01:25:05,50.1001,-91.917,8.67,52,75,2.3
61,Washougal,US,2023-03-02 01:20:43,45.5826,-122.3534,46.26,67,75,5.75
62,Panaba,MX,2023-03-02 01:25:05,21.2833,-88.2667,78.37,59,5,18.92
63,Lake Havasu City,US,2023-03-02 01:25:06,34.4839,-114.3224,46.22,75,100,9.22
64,Las Matas De Farfan,DO,2023-03-02 01:25:06,18.8731,-71.5166,68.36,77,6,1.48
65,Payson,US,2023-03-02 01:25:07,40.0444,-111.7321,34.59,90,100,4.61
