Calculation1,Fips,Metro area,Latitude (generated),Longitude (generated),Share of recent buyers
2,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",34.7137,-92.3347,6.6%
2,30700,"Lincoln, NE Metro Area",40.7851,-96.9161,6.7%
2,30620,"Lima, OH Metro Area",40.7818,-84.1386,7.6%
2,30340,"Lewiston-Auburn, ME Metro Area",44.1965,-70.2031,7.7%
2,30300,"Lewiston, ID-WA Metro Area",46.2432,-117.0514,7.1%
2,30140,"Lebanon, PA Metro Area",40.3753,-76.4431,5.3%
2,29940,"Lawrence, KS Metro Area",38.904,-95.2783,6.7%
2,29740,"Las Cruces, NM Metro Area",32.4179,-106.8377,6.2%
2,29620,"Lansing-East Lansing, MI Metro Area",42.7676,-84.6157,6.0%
2,29540,"Lancaster, PA Metro Area",40.0186,-76.2338,6.7%
2,29420,"Lake Havasu City-Kingman, AZ Metro Area",35.6056,-113.9942,7.8%
2,29200,"Lafayette-West Lafayette, IN Metro Area",40.476,-86.8142,7.7%
2,29180,"Lafayette, LA Metro Area",29.9277,-92.1272,5.2%
2,29100,"La Crosse-Onalaska, WI-MN Metro Area",43.7953,-91.3207,5.9%
2,29020,"Kokomo, IN Metro Area",40.4713,-86.1192,6.5%
2,28940,"Knoxville, TN Metro Area",36.0263,-84.2164,6.8%
2,28660,"Killeen-Temple, TX Metro Area",31.2315,-97.9026,7.4%
2,28420,"Kennewick-Richland, WA Metro Area",46.2878,-119.345,5.7%
2,28140,"Kansas City, MO-KS Metro Area",38.9071,-94.585,6.9%
2,28100,"Kankakee, IL Metro Area",41.1467,-87.8844,5.8%
2,28020,"Kalamazoo-Portage, MI Metro Area",42.2448,-86.1915,7.9%
2,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",20.7753,-156.2914,6.8%
2,27900,"Joplin, MO Metro Area",37.0551,-94.3384,6.4%
2,27860,"Jonesboro, AR Metro Area",35.7168,-90.662,5.8%
2,27780,"Johnstown, PA Metro Area",40.4843,-78.7335,5.3%
2,27620,"Jefferson City, MO Metro Area",38.6763,-91.9296,6.3%
2,27500,"Janesville-Beloit, WI Metro Area",42.6687,-89.072,5.7%
2,27180,"Jackson, TN Metro Area",35.6235,-88.8414,5.3%
2,27140,"Jackson, MS Metro Area",32.3537,-90.1804,5.0%
2,27100,"Jackson, MI Metro Area",42.2474,-84.4239,7.9%
2,27060,"Ithaca, NY Metro Area",42.4431,-76.4726,5.0%
2,26980,"Iowa City, IA Metro Area",41.5122,-91.5984,7.6%
2,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",39.7141,-86.3223,7.4%
2,26820,"Idaho Falls, ID Metro Area",43.6268,-112.6883,7.0%
2,26620,"Huntsville, AL Metro Area",34.7373,-86.7585,6.9%
2,26580,"Huntington-Ashland, WV-KY-OH Metro Area",38.3457,-82.3461,5.1%
2,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",29.6976,-95.3147,6.7%
2,26300,"Hot Springs, AR Metro Area",34.5808,-93.1061,7.8%
2,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",32.3932,-80.7447,6.5%
2,25860,"Hickory-Lenoir-Morganton, NC Metro Area",35.8348,-81.5015,6.6%
2,25620,"Hattiesburg, MS Metro Area",31.172,-89.2475,5.4%
2,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",41.6081,-72.6305,5.5%
2,25420,"Harrisburg-Carlisle, PA Metro Area",40.3018,-77.1353,6.2%
2,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",39.4937,-78.004,6.7%
2,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",30.4381,-89.0415,6.0%
2,24860,"Greenville-Anderson-Mauldin, SC Metro Area",34.7094,-82.4635,6.9%
2,24660,"Greensboro-High Point, NC Metro Area",36.0241,-79.7912,7.6%
2,24340,"Grand Rapids-Wyoming, MI Metro Area",42.9444,-86.1979,6.4%
2,24260,"Grand Island, NE Metro Area",41.0467,-98.2882,7.6%
2,24220,"Grand Forks, ND-MN Metro Area",47.8469,-97.1174,6.0%
2,24140,"Goldsboro, NC Metro Area",35.372,-77.9815,5.9%
2,24020,"Glens Falls, NY Metro Area",43.3747,-73.562,6.3%
2,23900,"Gettysburg, PA Metro Area",39.8949,-77.226,6.1%
2,23580,"Gainesville, GA Metro Area",34.3063,-83.7851,6.1%
2,23540,"Gainesville, FL Metro Area",29.681,-82.5053,7.2%
2,23420,"Fresno, CA Metro Area",36.7463,-119.6363,6.8%
2,23060,"Fort Wayne, IN Metro Area",40.931,-85.0695,7.4%
2,22900,"Fort Smith, AR-OK Metro Area",35.1334,-94.5337,5.3%
2,22540,"Fond du Lac, WI Metro Area",43.741,-88.5229,5.8%
2,22520,"Florence-Muscle Shoals, AL Metro Area",34.7873,-87.7684,6.1%
2,22420,"Flint, MI Metro Area",43.0017,-83.6932,7.7%
2,22380,"Flagstaff, AZ Metro Area",35.6301,-112.0424,6.5%
2,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",36.2585,-94.0987,6.4%
2,22180,"Fayetteville, NC Metro Area",35.0503,-79.0533,8.0%
2,21820,"Fairbanks, AK Metro Area",64.8563,-146.3668,6.8%
2,21780,"Evansville, IN-KY Metro Area",37.9423,-87.6439,5.6%
2,21420,"Enid, OK Metro Area",36.3791,-97.7828,7.8%
2,21340,"El Paso, TX Metro Area",31.316,-105.423,5.8%
2,21300,"Elmira, NY Metro Area",42.1475,-76.7624,5.3%
2,20740,"Eau Claire, WI Metro Area",44.9439,-91.2868,7.4%
2,20260,"Duluth, MN-WI Metro Area",47.3943,-92.4299,7.8%
2,20220,"Dubuque, IA Metro Area",42.4848,-90.8953,7.1%
2,20020,"Dothan, AL Metro Area",31.3837,-85.2498,5.9%
2,19820,"Detroit-Warren-Dearborn, MI Metro Area",42.6774,-83.3276,6.2%
2,19780,"Des Moines-West Des Moines, IA Metro Area",41.5114,-94.0146,7.9%
2,19380,"Dayton, OH Metro Area",39.8754,-84.2681,6.4%
2,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",41.4233,-90.3903,6.9%
2,19300,"Daphne-Fairhope-Foley, AL Metro Area",30.7327,-87.7626,6.9%
2,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",32.744,-97.0689,7.1%
2,19060,"Cumberland, MD-WV Metro Area",39.4802,-78.8921,6.0%
2,18700,"Corvallis, OR Metro Area",44.4992,-123.4043,6.3%
2,18580,"Corpus Christi, TX Metro Area",27.9401,-97.3848,5.3%
2,18140,"Columbus, OH Metro Area",40.0371,-82.8533,7.6%
2,17980,"Columbus, GA-AL Metro Area",32.4672,-84.8711,6.6%
2,17900,"Columbia, SC Metro Area",34.0403,-81.274,6.3%
2,17460,"Cleveland-Elyria, OH Metro Area",41.6183,-81.6755,5.7%
2,17420,"Cleveland, TN Metro Area",35.1727,-84.6512,7.4%
2,17140,"Cincinnati, OH-KY-IN Metro Area",39.1013,-84.4863,6.8%
2,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",41.703,-87.9363,6.2%
2,16860,"Chattanooga, TN-GA Metro Area",35.0737,-85.4298,6.1%
2,16820,"Charlottesville, VA Metro Area",37.9026,-78.5249,5.7%
2,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",35.2588,-80.889,6.8%
2,16700,"Charleston-North Charleston, SC Metro Area",32.9946,-79.8543,8.0%
2,16620,"Charleston, WV Metro Area",38.2159,-81.5564,5.8%
2,16540,"Chambersburg-Waynesboro, PA Metro Area",40.005,-77.7066,6.0%
2,16180,"Carson City, NV Metro Area",39.1677,-119.7231,8.0%
2,16060,"Carbondale-Marion, IL Metro Area",37.759,-89.1875,6.6%
2,15940,"Canton-Massillon, OH Metro Area",40.7061,-81.2833,6.7%
2,15680,"California-Lexington Park, MD Metro Area",38.1949,-76.559,6.7%
2,15500,"Burlington, NC Metro Area",36.0465,-79.4005,5.6%
2,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",43.0374,-78.7361,5.2%
2,15260,"Brunswick, GA Metro Area",31.3451,-81.4428,6.4%
2,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",41.3084,-73.3137,5.3%
2,14500,"Boulder, CO Metro Area",40.0879,-105.3448,6.7%
2,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",42.5684,-71.1109,5.9%
2,14020,"Bloomington, IN Metro Area",39.233,-86.7131,5.4%
2,14010,"Bloomington, IL Metro Area",40.403,-88.8625,6.1%
2,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",37.0952,-80.5172,5.2%
2,13900,"Bismarck, ND Metro Area",46.6357,-100.8998,6.6%
2,13820,"Birmingham-Hoover, AL Metro Area",33.4602,-86.8194,7.0%
2,13740,"Billings, MT Metro Area",45.8758,-108.4747,7.9%
2,13140,"Beaumont-Port Arthur, TX Metro Area",30.3465,-94.382,7.1%
2,13020,"Bay City, MI Metro Area",43.7369,-83.9361,7.4%
2,12980,"Battle Creek, MI Metro Area",42.2464,-85.007,5.5%
2,12940,"Baton Rouge, LA Metro Area",30.5351,-91.1555,6.3%
2,12700,"Barnstable Town, MA Metro Area",41.7997,-70.208,5.4%
2,12620,"Bangor, ME Metro Area",45.52,-68.4325,7.8%
2,12580,"Baltimore-Columbia-Towson, MD Metro Area",39.216,-76.6747,5.9%
2,12540,"Bakersfield, CA Metro Area",35.2949,-118.7204,6.5%
2,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",33.7311,-84.4002,7.2%
2,12020,"Athens-Clarke County, GA Metro Area",33.9817,-83.1612,7.6%
2,11700,"Asheville, NC Metro Area",35.6051,-82.7324,6.5%
2,11540,"Appleton, WI Metro Area",44.2411,-88.2713,5.3%
2,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",33.7622,-85.842,5.6%
2,11460,"Ann Arbor, MI Metro Area",42.2529,-83.8375,6.7%
2,11260,"Anchorage, AK Metro Area",62.1073,-149.9812,5.3%
2,11180,"Ames, IA Metro Area",42.0355,-93.4652,7.2%
2,11100,"Amarillo, TX Metro Area",35.1882,-102.0644,6.1%
2,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",40.7763,-75.3629,5.8%
2,10740,"Albuquerque, NM Metro Area",35.2415,-106.7266,7.1%
2,10580,"Albany-Schenectady-Troy, NY Metro Area",42.8758,-73.7017,5.0%
2,10540,"Albany, OR Metro Area",44.4968,-122.5258,6.3%
2,10500,"Albany, GA Metro Area",31.5229,-84.045,6.2%
2,10420,"Akron, OH Metro Area",41.1284,-81.3447,5.1%
2,10180,"Abilene, TX Metro Area",32.5202,-99.8793,7.1%
1,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",41.2008,-80.501,4.9%
1,48700,"Williamsport, PA Metro Area",41.333,-77.0553,3.5%
1,47940,"Waterloo-Cedar Falls, IA Metro Area",42.5578,-92.3184,4.8%
1,47020,"Victoria, TX Metro Area",28.7455,-97.1672,3.6%
1,46660,"Valdosta, GA Metro Area",30.8879,-83.3553,5.0%
1,46340,"Tyler, TX Metro Area",32.4113,-95.246,5.0%
1,46220,"Tuscaloosa, AL Metro Area",33.0453,-87.5739,3.7%
1,45500,"Texarkana, TX-AR Metro Area",33.4821,-94.2347,3.9%
1,45460,"Terre Haute, IN Metro Area",39.5257,-87.273,4.6%
1,44940,"Sumter, SC Metro Area",33.906,-80.3415,4.3%
1,44700,"Stockton-Lodi, CA Metro Area",37.8911,-121.2479,4.1%
1,43580,"Sioux City, IA-NE-SD Metro Area",42.6474,-96.4377,4.0%
1,43100,"Sheboygan, WI Metro Area",43.7185,-87.6387,3.7%
1,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",41.2768,-75.8782,4.4%
1,42100,"Santa Cruz-Watsonville, CA Metro Area",37.0528,-122.0429,4.5%
1,41860,"San Francisco-Oakland-Hayward, CA Metro Area",37.6888,-122.0651,4.9%
1,41660,"San Angelo, TX Metro Area",31.3904,-100.6915,4.0%
1,40980,"Saginaw, MI Metro Area",43.3487,-84.0339,4.7%
1,40660,"Rome, GA Metro Area",34.3331,-85.1945,5.0%
1,40580,"Rocky Mount, NC Metro Area",35.9394,-77.7743,4.3%
1,40420,"Rockford, IL Metro Area",42.326,-89.0517,4.6%
1,40380,"Rochester, NY Metro Area",43.0717,-77.3205,4.9%
1,40220,"Roanoke, VA Metro Area",37.2914,-80.0466,4.8%
1,39740,"Reading, PA Metro Area",40.4076,-75.9297,4.6%
1,38300,"Pittsburgh, PA Metro Area",40.4467,-79.9094,4.9%
1,37620,"Parkersburg-Vienna, WV Metro Area",39.1532,-81.5332,3.6%
1,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",34.447,-119.0772,4.5%
1,36980,"Owensboro, KY Metro Area",37.6899,-87.1226,5.0%
1,35980,"Norwich-New London, CT Metro Area",41.4646,-72.0528,4.6%
1,35380,"New Orleans-Metairie, LA Metro Area",29.7839,-89.6135,4.6%
1,34620,"Muncie, IN Metro Area",40.2278,-85.3965,3.3%
1,33700,"Modesto, CA Metro Area",37.6057,-120.8871,4.7%
1,33660,"Mobile, AL Metro Area",30.6582,-88.1993,4.6%
1,33540,"Missoula, MT Metro Area",47.1162,-113.9448,4.3%
1,33140,"Michigan City-La Porte, IN Metro Area",41.4993,-86.7273,3.0%
1,32580,"McAllen-Edinburg-Mission, TX Metro Area",26.4089,-98.1861,3.5%
1,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",34.0786,-118.3232,4.3%
1,30020,"Lawton, OK Metro Area",34.4589,-98.4007,4.8%
1,29700,"Laredo, TX Metro Area",27.7321,-99.2864,3.6%
1,29340,"Lake Charles, LA Metro Area",30.0083,-93.1892,3.0%
1,28740,"Kingston, NY Metro Area",41.8791,-74.2028,3.7%
1,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",36.5855,-82.365,4.8%
