City_ID,City_ID,City,State,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed
126,126,Valley City,ND,US,2023-03-02 01:26:37,46.9233,-98.0032,-1.68,84,0,8.05
127,127,Columbus,OH,US,2023-03-02 01:24:54,39.9612,-82.9988,70.0,51,100,19.57
128,128,Belle Fourche,SD,US,2023-03-02 01:26:37,44.6714,-103.8522,28.33,63,39,11.99
129,129,Palmer,MA,US,2023-03-02 01:26:38,42.1584,-72.3287,37.81,74,100,6.91
132,132,Marquette,MI,US,2023-03-02 01:26:39,46.5333,-87.6335,26.04,94,100,3.0
133,133,Lake Mary,FL,US,2023-03-02 01:26:40,28.7589,-81.3178,79.02,73,75,4.0
136,136,Piney Green,NC,US,2023-03-02 01:26:41,34.716,-77.3202,69.75,86,0,9.22
137,137,Suamico,WI,US,2023-03-02 01:26:41,44.6319,-88.0393,35.96,91,100,10.36
138,138,Houma,LA,US,2023-03-02 01:26:41,29.5958,-90.7195,77.0,88,40,18.41
140,140,Homer,AK,US,2023-03-02 01:26:42,59.6425,-151.5483,29.8,56,20,25.99
141,141,Abilene,TX,US,2023-03-02 01:24:42,32.4487,-99.7331,59.22,44,0,9.22
142,142,Soldotna,AK,US,2023-03-02 01:26:42,60.4878,-151.0583,27.01,80,40,4.61
145,145,Astoria,OR,US,2023-03-02 01:25:13,46.1879,-123.8313,43.93,77,100,8.05
148,148,Jasper,MO,US,2023-03-02 01:27:44,37.2001,-94.3502,54.88,42,0,3.44
149,149,Bemidji,MN,US,2023-03-02 01:26:36,47.4736,-94.8803,17.37,56,100,6.91
150,150,Blythe,CA,US,2023-03-02 01:27:44,33.6103,-114.5964,46.85,71,40,12.66
152,152,Kailua,HI,US,2023-03-02 01:27:20,21.4022,-157.7394,78.78,75,100,21.85
154,154,Callaway,FL,US,2023-03-02 01:27:30,30.153,-85.5699,72.0,93,0,10.36
156,156,Traverse City,MI,US,2023-03-02 01:23:59,44.7631,-85.6206,37.47,90,100,4.61
159,159,Kelso,WA,US,2023-03-02 01:27:46,46.1468,-122.9084,44.56,84,100,8.05
